,Make,Mean Model Price (£),Year,Mileage,Transmission,Engine Size (L),Fuel Type,Actual Car Price (£),Indicated Value
253,mercedes-benz,3798.818181818182,2006,94400,Automatic,3.0,Petrol,3295,Great
254,toyota,3982.165680473373,2006,63000,Manual,1.0,Petrol,1795,Great
255,volkswagen,6953.277192982456,2006,110000,Automatic,1.6,Petrol,2000,Lower
256,toyota,6102.8,2006,78000,Manual,1.6,Petrol,1595,Lower
257,mazda,5743.0275229357785,2006,59577,Automatic,1.4,Petrol,1790,Great
258,volkswagen,6736.627009646302,2006,77000,Manual,1.4,Petrol,1595,Great
259,toyota,6102.8,2006,68000,Automatic,1.6,Petrol,2890,Great
260,suzuki,3114.0,2006,60000,Manual,1.6,Petrol,2995,Good
261,ford,6281.729041916167,2006,66000,Manual,1.25,Petrol,2295,Higher
262,toyota,4719.1679389312985,2006,92000,Manual,1.0,Petrol,1596,Great
263,audi,7253.379310344828,2006,137000,Manual,1.9,Diesel,1999,Higher
264,ford,5246.603305785124,2006,107000,Manual,2.0,Diesel,1590,Great
265,ford,6281.729041916167,2006,47661,Manual,1.6,Diesel,3399,Higher
266,toyota,3982.165680473373,2006,60946,Manual,1.0,Petrol,1995,Great
267,vauxhall,1936.666666666667,2006,79000,Manual,1.9,Diesel,2195,Good
268,mercedes-benz,3798.818181818182,2006,65000,Automatic,1.8,Petrol,4495,Great
269,audi,5946.259259259259,2006,155000,Automatic,3.0,Diesel,1799,Lower
270,renault,5933.241258741258,2006,69000,Manual,1.2,Petrol,1595,Fair
271,ford,5246.603305785124,2006,51275,Manual,1.6,Petrol,1699,Great
272,bmw,6605.586206896552,2006,140000,Automatic,3.0,Diesel,2800,Great
273,toyota,3518.166666666666,2006,90350,Manual,1.8,Petrol,1995,Fair
274,honda,2596.0,2006,49320,Manual,2.0,Petrol,4699,Fair
275,mini,6426.404682274248,2006,105000,Automatic,1.6,Petrol,2795,Fair
276,toyota,6102.8,2006,95000,Manual,1.6,Petrol,1895,Fair
277,bmw,8238.234042553191,2006,102000,Automatic,2.5,Diesel,3000,Lower
278,volkswagen,6953.277192982456,2006,126000,Manual,1.6,Petrol,1650,Great
279,volkswagen,6953.277192982456,2006,87000,Manual,2.0,Petrol,5500,Lower
280,toyota,5178.913043478261,2006,115000,Manual,2.2,Diesel,3290,Higher
281,mini,3935.633333333333,2006,88000,Manual,1.6,Petrol,3295,Great
282,bmw,6588.214285714284,2006,138000,Manual,2.0,Diesel,1895,Great
283,bmw,6605.586206896552,2006,51664,Manual,2.0,Petrol,4999,Lower
284,mercedes-benz,5196.0,2006,206236,Automatic,3.0,Diesel,2295,Higher
285,honda,3397.8,2006,49000,Manual,1.3,Petrol,2185,Fair
286,bmw,6605.586206896552,2006,133000,Manual,2.0,Petrol,1950,Great
287,mini,6426.404682274248,2006,88000,Manual,1.6,Petrol,1995,Fair
288,volvo,3123.357142857143,2006,117000,Manual,2.0,Diesel,1989,Great
289,toyota,4719.1679389312985,2006,63957,Manual,1.0,Petrol,1689,Great
290,bmw,6605.586206896552,2006,76000,Manual,2.0,Petrol,1599,Lower
291,honda,5048.4745762711855,2006,138787,Manual,2.2,Diesel,1995,Fair
292,volkswagen,6953.277192982456,2006,91359,Manual,2.0,Diesel,1890,Good
293,mini,6426.404682274248,2006,93450,Manual,1.6,Petrol,1800,Great
294,land rover,4513.076923076923,2006,124000,Manual,2.0,Diesel,1789,Great
295,honda,3397.8,2006,52560,Automatic,1.4,Petrol,2795,Great
296,toyota,3506.0,2006,119000,Automatic,1.5,Petrol Hybrid,2795,Great
297,renault,5933.241258741258,2006,55000,Manual,1.4,Petrol,1900,Great
298,mercedes-benz,7442.675,2006,74400,Automatic,1.8,Petrol,3495,Fair
299,honda,3397.8,2006,71543,Manual,1.4,Petrol,2000,Good
300,ford,6281.729041916167,2006,57000,Automatic,1.4,Petrol,1995,Lower
301,volkswagen,6953.277192982456,2006,85679,Manual,1.6,Petrol,2395,Great
302,suzuki,5271.309677419355,2006,111602,Automatic,1.5,Petrol,1690,Great
303,lexus,4497.0,2006,138221,Automatic,3.3,Petrol Hybrid,3999,Lower
